Order_Priority,Customer_ID,Ship_Mode,Order_Date,Order_ID
Not Specified,2,Regular Air,5/28/2012,88525
High,3,Express Air,7/7/2010,88522
Not Specified,3,Express Air,7/27/2011,88523
Not Specified,3,Regular Air,7/27/2011,88523
Not Specified,3,Express Air,7/27/2011,88523
Medium,3,Express Air,11/9/2011,88524
Low,3,Delivery Truck,7/1/2013,88526
Not Specified,5,Delivery Truck,12/13/2010,90193
Low,5,Regular Air,5/12/2012,90197
High,6,Regular Air,5/26/2011,90194
Critical,6,Regular Air,12/29/2012,90200
Critical,6,Regular Air,12/29/2012,90200
Critical,6,Regular Air,12/29/2012,90200
High,7,Regular Air,10/30/2012,90198
Medium,8,Delivery Truck,12/25/2012,90199
Medium,9,Delivery Truck,12/25/2012,90199
Critical,10,Regular Air,10/4/2011,90195
Critical,11,Regular Air,8/15/2010,90192
High,12,Regular Air,2/24/2012,90196
Medium,14,Regular Air,5/12/2010,86838
Medium,14,Regular Air,5/12/2010,86838
Medium,14,Regular Air,5/12/2010,86838
Medium,14,Regular Air,5/12/2010,86838
Medium,14,Regular Air,5/12/2013,86845
Critical,15,Regular Air,4/8/2010,86837
Medium,15,Regular Air,5/28/2010,86839
Medium,15,Regular Air,12/4/2011,86840
Medium,15,Regular Air,4/29/2012,86841
Low,15,Regular Air,1/19/2013,86842
Low,15,Regular Air,1/21/2013,86843
High,16,Regular Air,2/12/2010,86836
High,16,Regular Air,2/12/2010,86836
High,16,Express Air,2/12/2013,86844
Low,17,Regular Air,4/20/2011,90033
Critical,17,Express Air,4/6/2012,90034
High,18,Regular Air,5/15/2010,90031
Critical,18,Express Air,5/15/2012,90035
Critical,18,Express Air,5/15/2012,90035
Not Specified,18,Regular Air,5/21/2013,90038
Low,18,Delivery Truck,10/2/2013,90039
Low,18,Regular Air,10/2/2013,90039
Not Specified,19,Regular Air,5/21/2010,90032
Not Specified,20,Express Air,5/31/2012,90036
Not Specified,20,Delivery Truck,5/31/2012,90036
Medium,20,Regular Air,3/7/2013,90037
High,21,Regular Air,5/15/2010,41793
Not Specified,21,Regular Air,5/21/2010,42949
Not Specified,21,Regular Air,5/21/2010,42949
Medium,21,Regular Air,3/7/2011,55269
Low,21,Regular Air,4/20/2011,9895
Critical,21,Express Air,4/6/2012,17860
Critical,21,Express Air,5/15/2012,26887
Critical,21,Express Air,5/15/2012,26887
Not Specified,21,Express Air,5/31/2012,50533
Not Specified,21,Delivery Truck,5/31/2012,50533
Low,21,Delivery Truck,10/2/2013,18596
Low,21,Regular Air,10/2/2013,18596
High,23,Regular Air,11/11/2011,87655
High,23,Regular Air,11/11/2011,87655
Not Specified,23,Express Air,9/10/2012,87660
Low,23,Delivery Truck,11/18/2013,87669
High,24,Regular Air,1/28/2010,87651
High,24,Regular Air,1/28/2010,87651
Not Specified,24,Regular Air,3/2/2012,87656
High,24,Regular Air,12/19/2012,87662
Critical,24,Regular Air,1/13/2013,87663
High,25,Regular Air,92530,7.12
High,25,Regular Air,4/18/2012,87657
Critical,25,Regular Air,7/2/2013,87666
Critical,25,Regular Air,7/2/2013,87666
Medium,26,Regular Air,6/27/2012,87658
Not Specified,26,Express Air,9/2/2013,87667
High,26,Regular Air,12/11/2013,87670
High,26,Regular Air,12/11/2013,87670
Not Specified,27,Regular Air,11/2/2010,87652
Low,27,Regular Air,7/12/2012,87659
Low,27,Regular Air,7/12/2012,87659
Critical,27,Express Air,90712,204.57
Critical,27,Regular Air,10/26/2012,87661
Not Specified,27,Regular Air,11/2/2013,87668
High,28,Regular Air,1/22/2011,87653
Critical,28,Regular Air,4/14/2013,87665
Not Specified,29,Regular Air,1/30/2011,87654
Not Specified,29,Regular Air,1/30/2013,87664
High,31,Regular Air,8/11/2012,89206
High,32,Regular Air,2/22/2010,89199
High,32,Regular Air,3/27/2010,89200
Medium,32,Express Air,7/20/2010,89202
Low,32,Regular Air,9/12/2010,89203
Critical,32,Regular Air,97526,133.07
High,32,Delivery Truck,6/12/2013,89207
Not Specified,33,Regular Air,6/15/2010,89201
Not Specified,33,Regular Air,6/15/2010,89201
Medium,33,Regular Air,1/26/2012,89205
Critical,33,Delivery Truck,8/16/2013,89208
Critical,33,Regular Air,8/16/2013,89208
Not Specified,35,Regular Air,11/27/2012,91256
Low,35,Regular Air,5/28/2013,91257
Not Specified,36,Express Air,97123,272.98
Not Specified,36,Regular Air,11/27/2012,91256
Not Specified,37,Regular Air,11/27/2012,91256
Medium,39,Regular Air,7/3/2011,88682
Medium,39,Regular Air,7/3/2011,88682
Critical,39,Express Air,6/12/2013,88684
Not Specified,40,Regular Air,3/21/2013,88683
Not Specified,42,Regular Air,11/5/2012,91455
Not Specified,42,Regular Air,98373,291.56
Not Specified,42,Regular Air,11/26/2013,91458
High,43,Regular Air,11/10/2010,91454
Low,43,Regular Air,2/26/2013,91456
Critical,43,Delivery Truck,8/30/2013,91457
Medium,45,Regular Air,2/24/2012,91578
Not Specified,45,Regular Air,9/23/2012,91579
Not Specified,46,Regular Air,9/23/2012,91579
Not Specified,46,Regular Air,9/23/2012,91579
Medium,48,Regular Air,8/15/2011,87712
Medium,48,Regular Air,8/13/2012,87713
High,48,Regular Air,10/10/2012,87714
High,48,Regular Air,10/10/2012,87714
High,48,Regular Air,1/11/2013,87715
High,49,Regular Air,3/29/2011,87710
High,49,Express Air,5/18/2011,87711
Medium,49,Regular Air,8/15/2011,87712
Low,49,Regular Air,2/17/2013,87716
Medium,49,Regular Air,3/2/2013,87717
Critical,49,Delivery Truck,3/12/2013,87718
Medium,49,Regular Air,10/6/2013,87719
Medium,49,Regular Air,10/6/2013,87719
High,50,Regular Air,3/29/2011,87710
Not Specified,52,Regular Air,9/10/2010,88426
Critical,52,Regular Air,9/10/2011,88427
Critical,52,Regular Air,11/6/2012,88428
Critical,53,Delivery Truck,7/28/2010,88425
Not Specified,53,Regular Air,9/10/2010,88426
Low,53,Regular Air,2/19/2013,88429
High,55,Delivery Truck,10/6/2011,88076
Low,55,Delivery Truck,10/20/2011,88077
Low,55,Regular Air,4/10/2013,88081
Low,55,Express Air,4/10/2013,88081
Medium,56,Regular Air,10/20/2010,88075
Medium,56,Regular Air,10/20/2010,88075
Low,56,Regular Air,10/20/2011,88077
High,56,Express Air,1/11/2013,88079
Not Specified,56,Regular Air,2/8/2013,88080
Not Specified,56,Regular Air,2/8/2013,88080
Low,56,Regular Air,12/27/2013,88082
Low,56,Regular Air,12/27/2013,88082
Medium,57,Regular Air,1/21/2012,88078
Critical,59,Express Air,2/23/2013,87413
Critical,59,Regular Air,2/23/2013,87413
Critical,59,Regular Air,3/14/2013,87416
Not Specified,59,Delivery Truck,4/3/2013,87417
Not Specified,59,Regular Air,4/3/2013,87417
Medium,60,Regular Air,6/10/2012,87410
Medium,60,Regular Air,6/10/2012,87410
High,60,Delivery Truck,7/21/2013,87420
Medium,61,Delivery Truck,11/18/2011,87409
Low,61,Regular Air,10/7/2012,87411
Not Specified,61,Regular Air,2/13/2013,87412
High,61,Regular Air,3/2/2013,87414
High,61,Regular Air,11/11/2013,87422
High,61,Regular Air,11/11/2013,87422
High,62,Regular Air,11/9/2010,87407
High,62,Regular Air,12/12/2010,87408
Low,62,Regular Air,3/7/2013,87415
High,62,Regular Air,12/12/2013,87423
Low,63,Regular Air,3/7/2013,87415
Low,63,Express Air,5/2/2013,87418
Low,63,Regular Air,5/2/2013,87418
Low,63,Regular Air,6/7/2013,87419
Low,63,Regular Air,6/7/2013,87419
Not Specified,64,Regular Air,3/2/2010,87406
Not Specified,64,Express Air,3/2/2010,87406
Not Specified,64,Regular Air,3/2/2013,87414
High,64,Regular Air,8/26/2013,87421
Critical,65,Regular Air,5/2/2012,87948
Critical,66,Regular Air,5/2/2012,87948
Not Specified,66,Regular Air,6/12/2013,87951
Low,67,Regular Air,1/2/2010,87946
Low,67,Delivery Truck,1/2/2013,87949
Low,67,Delivery Truck,1/2/2013,87949
Medium,67,Regular Air,3/12/2013,87950
Medium,67,Regular Air,3/12/2013,87950
Low,68,Delivery Truck,1/2/2010,37537
Low,68,Delivery Truck,1/2/2010,37537
Low,68,Regular Air,1/2/2010,37537
High,68,Delivery Truck,2/2/2010,55713
Critical,68,Regular Air,5/2/2012,2978
Critical,68,Regular Air,5/2/2012,2978
Critical,68,Regular Air,5/2/2012,2978
Medium,68,Regular Air,3/12/2013,44099
Medium,68,Regular Air,3/12/2013,44099
Not Specified,68,Regular Air,6/12/2013,26274
Critical,69,Regular Air,5/2/2012,87948
High,70,Delivery Truck,2/2/2010,87947
Low,72,Express Air,8/12/2012,89248
High,73,Regular Air,10/28/2013,89250
Not Specified,74,Regular Air,12/10/2012,89249
Critical,75,Express Air,4/11/2012,89247
Critical,76,Regular Air,4/11/2012,89247
Critical,77,Regular Air,4/11/2012,89247
Critical,78,Regular Air,4/11/2012,89247
Low,80,Delivery Truck,2/6/2011,89923
High,80,Regular Air,5/19/2011,89924
High,80,Regular Air,5/19/2011,89924
High,80,Delivery Truck,5/19/2011,89924
High,80,Regular Air,97303,774.87
High,80,Express Air,7/16/2012,89926
High,81,Express Air,7/16/2012,89926
Critical,81,Regular Air,1/4/2013,89927
Critical,81,Regular Air,1/4/2013,89927
High,83,Delivery Truck,3/15/2010,87365
High,83,Regular Air,44708,90.09
High,83,Regular Air,3/5/2012,87369
Not Specified,83,Regular Air,9/1/2013,87372
Not Specified,84,Regular Air,45231,90.98
High,84,Regular Air,9/30/2010,87366
Not Specified,84,Express Air,10/29/2011,87368
Not Specified,84,Regular Air,10/29/2011,87368
Not Specified,84,Regular Air,10/29/2011,87368
Medium,84,Regular Air,4/14/2013,87370
High,84,Delivery Truck,9/30/2013,87373
Low,85,Delivery Truck,4/10/2011,87367
Medium,85,Delivery Truck,4/14/2013,87370
Not Specified,85,Regular Air,4/19/2013,87371
Low,87,Regular Air,6/3/2010,90596
High,87,Regular Air,9/22/2010,90597
High,87,Delivery Truck,9/22/2010,90597
Medium,87,Regular Air,4/15/2013,90599
Not Specified,88,Express Air,12/13/2011,90598
Not Specified,90,Express Air,2/7/2012,87181
High,91,Regular Air,5/17/2010,87175
Medium,91,Regular Air,8/18/2010,87176
Medium,91,Regular Air,9/4/2010,87177
Not Specified,91,Regular Air,2/7/2012,87181
Not Specified,91,Regular Air,2/7/2012,87181
Low,91,Express Air,9/8/2012,87182
Low,91,Express Air,9/8/2012,87182
High,92,Regular Air,70056,132.08
High,92,Regular Air,5/17/2010,87175
Medium,92,Express Air,12/7/2010,87178
