Office Supplies,Avery 49,2.88,2
Office Supplies,SANFORD Liquid Accent� Tank-Style Highlighters,2.84,4
Office Supplies,Xerox 1968,6.68,7
Office Supplies,Acme� Preferred Stainless Steel Scissors,5.68,7
Technology,V70,205.99,8
Office Supplies,Xerox 194,55.48,37
Technology,Canon S750 Color Inkjet Printer,120.97,12
Furniture,Global Troy� Executive Leather Low-Back Tilter,500.98,12
Office Supplies,Xerox 1930,6.48,18
Office Supplies,Kensington 6 Outlet MasterPiece� HOMEOFFICE Power Control Center,90.24,16
Office Supplies,Xerox 21,6.48,4
Office Supplies,*Staples* Highlighting Markers,4.84,17
Technology,Accessory34,85.99,24
Office Supplies,Xerox 1933,12.28,19
Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",140.98,5
Furniture,Riverside Furniture Stanwyck Manor Table Series,286.85,8
Office Supplies,Park Ridge� Embossed Executive Business Envelopes,15.57,14
Furniture,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,22
Office Supplies,Fiskars� Softgrip Scissors,10.98,8
Furniture,Howard Miller 12-3/4 Diameter Accuwave DS � Wall Clock,78.69,16
Office Supplies,Newell 321,3.28,7
Office Supplies,Newell 351,3.28,4
Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",3.58,4
Office Supplies,Xerox 213,6.48,4
Office Supplies,Grip Seal Envelopes,4.42,7
Office Supplies,"Tyvek � Top-Opening Peel & Seel � Envelopes, Gray",35.94,10
Office Supplies,Newell 310,1.76,10
Office Supplies,Xerox 1992,5.98,3
Furniture,"Master Giant Foot� Doorstop, Safety Yellow",7.59,4
Office Supplies,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",4.13,9
Office Supplies,Staples Gold Paper Clips,2.98,6
Technology,StarTAC 7797,115.99,10
Office Supplies,"GBC Laser Imprintable Binding System Covers, Desert Sand",14.27,3
Office Supplies,"Dixon My First Ticonderoga Pencil, #2",5.85,2
Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,7.77,4
Furniture,DAX Natural Wood-Tone Poster Frame,26.48,17
Office Supplies,Belkin F9M820V08 8 Outlet Surge,42.98,15
Office Supplies,"Fellowes Twister Kit, Gray/Clear, 3/pkg",8.04,9
Office Supplies,Advantus Plastic Paper Clips,5,13
Furniture,Office Star Flex Back Scooter Chair with White Frame,110.98,22
